Municipio,Cve_Municipio,Total_Crimes
La Perla,30127,93
La Piedad,16069,1414
La Reforma,20076,9
La Trinidad Vista Hermosa,20556,2
La Trinitaria,7099,46
La Unión de Isidoro Montes de Oca,12068,84
La Yesca,18019,21
Lafragua,21093,23
Lagos de Moreno,14053,2027
Lagunillas,16048,85
Lagunillas,24019,35
Lamadrid,5016,31
Lampazos de Naranjo,19032,58
Landa de Matamoros,22010,152
Landero y Coss,30096,9
Larráinzar,7049,4
Las Choapas,30061,987
Las Margaritas,7052,95
Las Minas,30107,5
Las Rosas,7075,19
Las Vigas,12082,1
Las Vigas de Ramírez,30132,162
Leonardo Bravo,12040,46
Lerdo,10012,1176
Lerdo de Tejada,30097,203
Lerma,15051,3250
León,11020,50207
Libres,21094,393
Linares,19033,1152
Llera,28019,111
Lolotla,13034,67
Loma Bonita,20044,296
Loreto,3009,474
Loreto,32024,375
Los Aldamas,19003,4
Los Cabos,3008,11410
Los Herreras,19027,12
Los Ramones,19042,106
Los Reyes,16075,396
Los Reyes,30137,20
Los Reyes de Juárez,21118,169
Luis Moya,32025,153
Luvianos,15123,109
Lázaro Cárdenas,16052,2540
Lázaro Cárdenas,23007,367
Lázaro Cárdenas,29047,2
López,8039,27
Macuspana,27012,2500
Madera,8040,281
Madero,16049,119
Magdalena,14055,172
Magdalena,26036,283
Magdalena,30098,5
Magdalena Apasco,20045,68
Magdalena Jaltepec,20046,8
Magdalena Mixtepec,20048,2
Magdalena Ocotlán,20049,9
Magdalena Peñasco,20050,4
Magdalena Teitipac,20051,39
Magdalena Tequisistlán,20052,40
Magdalena Tlacotepec,20053,8
Magdalena Yodocono de Porfirio Díaz,20562,17
Magdalena Zahuatlán,20054,0
Maguarichi,8041,14
Mainero,28020,5
Malinalco,15052,601
Malinaltepec,12041,52
Maltrata,30099,161
Mama,31046,0
Manlio Fabio Altamirano,30100,137
Manuel Benavides,8042,4
Manuel Doblado,11008,209
Manzanillo,6007,7845
Maní,31047,3
Mapastepec,7051,143
Mapimí,10013,81
Maravatío,16050,649
Maravilla Tenejapa,7115,5
Marcos Castellanos,16051,47
Mariano Escobedo,30101,202
Mariscala de Juárez,20055,25
Marquelia,12077,141
Marqués de Comillas,7116,4
Martínez de la Torre,30102,1567
Marín,19034,64
Mascota,14058,169
Matachí,8043,11
Matamoros,5017,2466
Matamoros,8044,57
Matamoros,28022,4872
Matehuala,24020,1937
Matlapa,24057,294
Matías Romero Avendaño,20057,454
Maxcanú,31048,52
Mayapán,31049,1
Mazamitla,14059,132
Mazapa de Madero,7053,2
Mazapil,32026,72
Mazapiltepec de Juárez,21096,96
Mazatecochco de José María Morelos,29017,18
Mazatepec,17014,109
Mazatlán,25012,7461
Mazatlán Villa de Flores,20058,77
Mazatán,7054,71
Mazatán,26037,10
Mecatlán,30103,19
Mecayapan,30104,43
Medellín de Bravo,30105,832
Melchor Ocampo,15053,1251
Melchor Ocampo,19035,7
Melchor Ocampo,32027,5
Meoqui,8045,860
Mesones Hidalgo,20037,16
Metapa,7055,25
Metepec,13035,105
Metepec,15054,7614
Metlatónoc,12043,63
Metztitlán,13037,219
Mexicali,2002,34550
Mexicaltzingo,15055,349
Mexquitic de Carmona,24021,573
Mexticacán,14060,12
Mezcalapa,7124,51
Mezquital,10014,114
Mezquital del Oro,32028,10
Mezquitic,14061,71
Miacatlán,17015,172
Miahuatlán,30106,19
Miahuatlán de Porfirio Díaz,20059,608
Mier,28024,44
Mier y Noriega,19036,22
Miguel Alemán,28025,379
Miguel Auza,32029,132
Miguel Hidalgo,9016,13248
Milpa Alta,9009,2454
Mina,19037,148
Minatitlán,6008,236
Minatitlán,30108,1650
Mineral de la Reforma,13051,2916
Mineral del Chico,13038,216
Mineral del Monte,13039,300
Miquihuana,28026,16
Misantla,30109,456
Mitontic,7056,1
Mixistlán de la Reforma,20060,4
Mixquiahuala de Juárez,13041,820
Mixtla,21097,18
Mixtla de Altamirano,30110,56
Mixtlán,14062,22
Mochitlán,12044,22
Mocochá,31051,9
Mocorito,25013,249
Moctezuma,24022,130
Moctezuma,26038,93
Molango de Escamilla,13042,170
Molcaxac,21098,51
Moloacán,30111,119
Momax,32030,24
Monclova,5018,4358
Monjas,20061,7
Monte Escobedo,32031,82
Montecristo de Guerrero,7117,1
Montemorelos,19038,1269
Monterrey,19039,22169
Morelia,16053,15109
Morelos,5019,158
Morelos,8046,4
Morelos,15056,263
Morelos,16054,61
Morelos,32032,235
Moris,8047,17
Moroleón,11021,906
Motozintla,7057,80
Motul,31052,165
Moyahua de Estrada,32033,29
Mulegé,3002,1296
Muna,31053,3
Muxupip,31054,2
Muñoz de Domingo Arenas,29011,7
Mártir de Cuilapan,12042,23
Mártires de Tacubaya,20056,4
Méndez,28023,17
Mérida,31050,2003
Múgica,16055,220
Múzquiz,5020,1620
Nacajuca,27013,2376
Naco,26039,56
Nacozari de García,26041,162
Nadadores,5021,99
Nahuatzen,16056,125
Namiquipa,8048,97
Nanacamilpa de Mariano Arista,29021,39
Nanchital de Lázaro Cárdenas del Río,30206,342
Naolinco,30112,167
Naranjal,30113,34
Naranjos Amatlán,30013,292
Natividad,20062,2
Natívitas,29023,62
Naucalpan de Juárez,15057,23785
Naupan,21100,29
Nautla,30114,67
Nauzontla,21101,18
Nava,5022,604
Navojoa,26042,1696
Navolato,25018,1052
Nazareno Etla,20063,47
Nazas,10015,59
Nealtican,21102,78
Nejapa de Madero,20064,31
Nextlalpan,15059,1427
Nezahualcóyotl,15058,21558
Nicolás Bravo,21103,38
Nicolás Flores,13043,11
Nicolás Romero,15060,7385
Nicolás Ruíz,7058,1
No Especificado,9998,7896
No Especificado,14998,275
No Especificado,22998,137
No Especificado,26998,0
No Especificado,30998,57
Nochistlán de Mejía,32034,152
Nocupétaro,16057,36
Nogales,26043,1858
Nogales,30115,505
Nombre de Dios,10016,254
Nonoava,8049,15
Nopala de Villagrán,13044,90
Nopaltepec,15061,259
Nopalucan,21104,129
Noria de Ángeles,32035,51
Nuevo Casas Grandes,8050,1589
Nuevo Ideal,10039,204
Nuevo Laredo,28027,2089
Nuevo Morelos,28028,21
Nuevo Parangaricutiro,16058,106
Nuevo Urecho,16059,20
Nuevo Zoquiápam,20504,3
Numarán,16060,84
Nácori Chico,26040,6
Oaxaca de Juárez,20067,7324
Ocampo,5023,84
Ocampo,8051,78
Ocampo,10017,22
Ocampo,11022,439
Ocampo,16061,87
Ocampo,28029,122
Ocosingo,7059,241
Ocotepec,7060,11
Ocotepec,21105,21
Ocotlán,14063,828
Ocotlán de Morelos,20068,356
Ocoyoacac,15062,1413
Ocoyucan,21106,418
Ocozocoautla de Espinosa,7061,281
Ocuilan,15063,556
Ocuituco,17016,164
Ojinaga,8052,103
Ojocaliente,32036,505
Ojuelos de Jalisco,14064,190
Olinalá,12045,61
Olintla,21107,19
Oluta,30116,175
Omealca,30117,112
Ometepec,12046,733
Omitlán de Juárez,13045,127
Onavas,26044,4
Opichén,31055,2
Opodepe,26045,11
Oquitoa,26046,4
Oriental,21108,361
Orizaba,30118,1936
Ostuacán,7062,40
Osumacinta,7063,9
Otatitlán,30119,52
Oteapan,30120,94
Othón P. Blanco,23004,7239
Otros Municipios,20999,36
Otros Municipios,26999,13
Otros Municipios,30999,203
Otumba,15065,857
Otzoloapan,15066,32
Otzolotepec,15067,1411
Otáez,10019,1
Oxchuc,7064,14
Oxkutzcab,31056,21
Ozuluama de Mascareñas,30121,174
Ozumba,15068,577
Pabellón de Arteaga,1006,1267
Pachuca de Soto,13048,14803
Pacula,13047,16
Padilla,28030,158
Pahuatlán,21109,262
Pajacuarán,16062,45
Pajapan,30122,65
Palenque,7065,503
Palizada,4007,72
Palmar de Bravo,21110,409
Palmillas,28031,16
Panabá,31057,3
Panindícuaro,16063,96
Panotla,29024,62
Pantelhó,7066,27
Pantepec,7067,8
Pantepec,21111,46
Papalotla,15069,93
Papalotla de Xicohténcatl,29041,82
Papantla,30124,1178
Paracho,16065,205
Paraíso,27014,1473
Parras,5024,967
Parácuaro,16064,109
Parás,19040,18
Paso de Ovejas,30126,152
Paso del Macho,30125,220
Pedro Ascencio Alquisiras,12047,1
Pedro Escobedo,22012,1261
Penjamillo,16067,66
Peribán,16068,129
Perote,30128,1032
Pesquería,19041,2457
Petatlán,12048,152
Petlalcingo,21112,49
Peto,31058,8
Peñamiller,22013,139
Peñón Blanco,10021,38
Piaxtla,21113,39
Pichucalco,7068,195
Piedras Negras,5025,4822
Pihuamo,14065,40
Pijijiapan,7069,124
Pilcaya,12049,108
Pinal de Amoles,22002,293
Pinos,32038,499
Pinotepa de Don Luis,20070,34
Pisaflores,13049,76
Pitiquito,26047,58
Platón Sánchez,30129,145
Playa Vicente,30130,203
Playas de Rosarito,2005,4373
Pluma Hidalgo,20071,12
Poanas,10022,292
Polotitlán,15071,359
Poncitlán,14066,475
Poza Rica de Hidalgo,30131,2344
Praxedis G. Guerrero,8053,26
Progreso,5026,35
Progreso,31059,304
Progreso de Obregón,13050,348
Puebla,21114,32045
Pueblo Nuevo,10023,180
Pueblo Nuevo,11024,165
Pueblo Nuevo Solistahuacán,7072,26
Pueblo Viejo,30133,352
Puente Nacional,30134,182
Puente de Ixtla,17017,697
Puerto Morelos,23011,794
Puerto Peñasco,26048,396
Puerto Vallarta,14067,5103
Pungarabato,12050,154
Puruándiro,16071,593
Purépero,16070,73
Purísima del Rincón,11025,1288
Putla Villa de Guerrero,20073,351
Pánuco,30123,946
Pánuco,32037,193
Pánuco de Coronado,10020,100
Pátzcuaro,16066,1361
Pénjamo,11023,2462
Quecholac,21115,305
Quechultenango,12051,23
Queréndaro,16072,123
Querétaro,22014,35551
Quimixtlán,21116,32
Quintana Roo,31060,0
Quiriego,26049,26
Quiroga,16073,137
Quitupan,14069,13
Rafael Delgado,30135,134
Rafael Lara Grajales,21117,141
Rafael Lucio,30136,81
Ramos Arizpe,5027,1788
Rayones,19043,10
Rayón,7073,12
Rayón,15072,217
Rayón,24023,204
Rayón,26050,4
Reforma,7074,533
Reforma de Pineda,20075,21
Reyes Etla,20077,51
Reynosa,28032,9767
Rincón Chamula San Pedro,7121,5
Rincón de Romos,1007,1137
Rioverde,24024,1789
Riva Palacio,8054,26
Rodeo,10024,80
Rojas de Cuauhtémoc,20078,12
Romita,11026,613
Rosales,8055,195
Rosamorada,18010,348
Rosario,8056,10
Rosario,25014,350
Rosario,26051,74
Ruíz,18011,137
Río Blanco,30138,572
Río Bravo,28033,1363
Río Grande,32039,513
Río Lagartos,31061,1
Sabanilla,7076,15
Sabinas,5028,1652
Sabinas Hidalgo,19044,424
Sacalum,31062,3
Sacramento,5029,14
Sahuaripa,26052,94
Sahuayo,16076,485
Sain Alto,32040,116
Salamanca,11027,6917
Salina Cruz,20079,937
Salinas,24025,365
Salinas Victoria,19045,1840
Saltabarranca,30139,34
Saltillo,5030,14999
Salto de Agua,7077,43
Salvador Alvarado,25015,630
Salvador Escalante,16079,606
Salvatierra,11028,2747
Samahil,31063,2
San Agustín Amatengo,20080,5
San Agustín Atenango,20081,7
San Agustín Chayuco,20082,16
San Agustín Etla,20084,40
San Agustín Loxicha,20085,45
San Agustín Metzquititlán,13036,102
San Agustín Tlacotepec,20086,4
San Agustín Tlaxiaca,13052,331
San Agustín Yatareni,20087,58
San Agustín de las Juntas,20083,140
San Andrés Cabecera Nueva,20088,6
San Andrés Cholula,21119,3313
San Andrés Dinicuiti,20089,5
San Andrés Duraznal,7118,0
San Andrés Huaxpaltepec,20090,37
San Andrés Huayápam,20091,47
San Andrés Ixtlahuaca,20092,8
San Andrés Lagunas,20093,2
San Andrés Nuxiño,20094,10
San Andrés Paxtlán,20095,11
San Andrés Sinaxtla,20096,6
San Andrés Solaga,20097,0
San Andrés Tenejapan,30140,14
San Andrés Teotilálpam,20098,10
San Andrés Tepetlapa,20099,0
San Andrés Tuxtla,30141,1735
San Andrés Yaá,20100,1
San Andrés Zabache,20101,1
San Andrés Zautla,20102,41
San Antonino Castillo Velasco,20103,43
San Antonino Monte Verde,20105,7
San Antonino el Alto,20104,3
San Antonio,24026,71
San Antonio Acutla,20106,0
San Antonio Cañada,21120,19
San Antonio Huitepec,20108,6
San Antonio Nanahuatípam,20109,10
San Antonio Sinicahua,20110,4
San Antonio Tepetlapa,20111,17
San Antonio de la Cal,20107,345
San Antonio la Isla,15073,584
San Baltazar Chichicápam,20112,15
San Baltazar Loxicha,20113,15
San Baltazar Yatzachi el Bajo,20114,4
San Bartolo Coyotepec,20115,221
San Bartolo Soyaltepec,20121,2
San Bartolo Tutotepec,13053,117
San Bartolo Yautepec,20122,1
San Bartolomé Ayautla,20116,7
San Bartolomé Loxicha,20117,6
San Bartolomé Quialana,20118,11
San Bartolomé Yucuañe,20119,2
San Bartolomé Zoogocho,20120,0
San Bernardo,10025,4
San Bernardo Mixtepec,20123,9
San Blas,18012,228
San Blas Atempa,20124,105
San Buenaventura,5031,377
San Carlos,28034,47
San Carlos Yautepec,20125,28
San Ciro de Acosta,24027,135
San Cristóbal Amatlán,20126,8
San Cristóbal Amoltepec,20127,1
San Cristóbal Lachirioag,20128,3
San Cristóbal Suchixtlahuaca,20129,19
San Cristóbal de la Barranca,14071,8
San Cristóbal de las Casas,7078,940
San Damián Texóloc,29049,11
San Diego de Alejandría,14072,27
San Diego de la Unión,11029,434
San Diego la Mesa Tochimiltzingo,21121,5
San Dimas,10026,41
San Dionisio Ocotepec,20131,33
San Dionisio Ocotlán,20132,8
San Dionisio del Mar,20130,7
San Esteban Atatlahuca,20133,10
San Felipe,2007,926
San Felipe,11030,1960
San Felipe,31065,1
San Felipe Jalapa de Díaz,20134,62
San Felipe Orizatlán,13046,190
San Felipe Tejalápam,20135,38
San Felipe Teotlalcingo,21122,63
San Felipe Tepatlán,21123,5
San Felipe Usila,20136,51
San Felipe de Jesús,26053,2
San Felipe del Progreso,15074,813
San Fernando,7079,77
San Fernando,28035,449
San Francisco Cahuacuá,20137,3
San Francisco Cajonos,20138,2
San Francisco Chapulapa,20139,11
San Francisco Chindúa,20140,2
San Francisco Huehuetlán,20142,1
San Francisco Ixhuatán,20143,42
San Francisco Jaltepetongo,20144,1
San Francisco Lachigoló,20145,72
San Francisco Logueche,20146,3
San Francisco Nuxaño,20147,2
San Francisco Ozolotepec,20148,0
San Francisco Sola,20149,11
San Francisco Telixtlahuaca,20150,125
San Francisco Teopan,20151,1
San Francisco Tetlanohcan,29050,29
San Francisco Tlapancingo,20152,4
San Francisco de Borja,8057,14
San Francisco de Conchos,8058,11
San Francisco de los Romo,1011,1642
San Francisco del Mar,20141,36
San Francisco del Oro,8059,95
San Francisco del Rincón,11031,2240
San Gabriel,14113,83
San Gabriel Chilac,21124,95
San Gabriel Mixtepec,20153,34
San Gregorio Atzompa,21125,109
San Ignacio,25016,96
San Ignacio Cerro Gordo,14125,97
San Ignacio Río Muerto,26072,74
San Ildefonso Amatlán,20154,6
San Ildefonso Sola,20155,7
San Ildefonso Villa Alta,20156,35
San Jacinto Amilpas,20157,235
San Jacinto Tlacotepec,20158,5
San Javier,26054,3
San Jerónimo Coatlán,20159,5
San Jerónimo Silacayoapilla,20160,7
San Jerónimo Sosola,20161,10
San Jerónimo Taviche,20162,8
San Jerónimo Tecuanipan,21126,39
San Jerónimo Tecóatl,20163,6
San Jerónimo Tlacochahuaya,20550,53
San Jerónimo Xayacatlán,21127,22
San Jerónimo Zacualpan,29051,8
San Joaquín,22015,83
San Jorge Nuchita,20164,7
San José Ayuquila,20165,9
San José Chiapa,21128,122
San José Chiltepec,20166,57
San José Estancia Grande,20168,5
San José Independencia,20169,9
San José Iturbide,11032,2159
San José Lachiguiri,20170,2
San José Miahuatlán,21129,51
San José Teacalco,29052,6
San José Tenango,20171,19
San José de Gracia,1008,239
San José del Peñasco,20167,6
San José del Progreso,20072,19
San José del Rincón,15124,519
San Juan Achiutla,20172,6
San Juan Atenco,21130,30
San Juan Atepec,20173,5
San Juan Atzompa,21131,10
San Juan Bautista Atatlahuca,20175,4
San Juan Bautista Coixtlahuaca,20176,25
San Juan Bautista Cuicatlán,20177,192
San Juan Bautista Guelache,20178,62
San Juan Bautista Jayacatlán,20179,2
San Juan Bautista Lo de Soto,20180,9
San Juan Bautista Suchitepec,20181,1
San Juan Bautista Tlachichilco,20183,0
San Juan Bautista Tlacoatzintepec,20182,2
San Juan Bautista Tuxtepec,20184,1691
San Juan Bautista Valle Nacional,20559,89
San Juan Cacahuatepec,20185,46
San Juan Cancuc,7112,19
San Juan Chicomezúchil,20191,2
San Juan Chilateca,20192,8
San Juan Cieneguilla,20186,2
San Juan Coatzóspam,20187,2
San Juan Colorado,20188,13
San Juan Comaltepec,20189,4
San Juan Cotzocón,20190,62
San Juan Diuxi,20195,4
San Juan Evangelista,30142,82
San Juan Evangelista Analco,20196,0
San Juan Guelavía,20197,22
San Juan Guichicovi,20198,142
San Juan Huactzinco,29053,19
San Juan Ihualtepec,20199,0
San Juan Juquila Mixes,20200,14
San Juan Juquila Vijanos,20201,2
San Juan Lachao,20202,11
San Juan Lachigalla,20203,3
San Juan Lajarcia,20204,4
San Juan Lalana,20205,27
San Juan Mazatlán,20207,38
San Juan Mixtepec Distrito 08,20208,34
San Juan Mixtepec Distrito 26,20209,1
San Juan Ozolotepec,20211,0
San Juan Petlapa,20212,6
San Juan Quiahije,20213,6
San Juan Quiotepec,20214,6
San Juan Sayultepec,20215,5
San Juan Tabaá,20216,0
San Juan Tamazola,20217,13
San Juan Teita,20218,1
San Juan Teitipac,20219,20
San Juan Tepeuxila,20220,10
San Juan Teposcolula,20221,11
San Juan Yaeé,20222,2
San Juan Yatzona,20223,0
San Juan Yucuita,20224,7
San Juan de Guadalupe,10027,1
San Juan de Sabinas,5032,687
San Juan de los Cués,20206,16
San Juan de los Lagos,14073,629
San Juan del Estado,20193,15
San Juan del Río,10028,126
San Juan del Río,20194,3
San Juan del Río,22016,6252
San Juan Ñumí,20210,12
San Juanito de Escobedo,14007,68
San Julián,14074,54
San Lorenzo,20225,9
San Lorenzo Albarradas,20226,7
San Lorenzo Axocomanitla,29054,20
San Lorenzo Cacaotepec,20227,137
San Lorenzo Cuaunecuiltitla,20228,0
San Lorenzo Texmelúcan,20229,11
San Lorenzo Victoria,20230,3
San Lucas,7110,17
San Lucas,16077,43
San Lucas Camotlán,20231,3
San Lucas Ojitlán,20232,74
San Lucas Quiaviní,20233,9
San Lucas Tecopilco,29055,3
San Lucas Zoquiápam,20234,26
San Luis Acatlán,12052,188
San Luis Amatlán,20235,16
San Luis Potosí,24028,31096
San Luis Río Colorado,26055,2360
San Luis de la Paz,11033,2330
San Luis del Cordero,10029,2
San Marcial Ozolotepec,20236,1
San Marcos,12053,213
San Marcos,14075,15
San Marcos Arteaga,20237,6
San Martín Chalchicuautla,24029,153
San Martín Hidalgo,14077,246
San Martín Huamelúlpam,20239,2
San Martín Itunyoso,20240,15
San Martín Lachilá,20241,1
San Martín Peras,20242,34
San Martín Texmelucan,21132,2914
San Martín Tilcajete,20243,8
San Martín Totoltepec,21133,2
San Martín Toxpalan,20244,15
San Martín Zacatepec,20245,2
San Martín de Bolaños,14076,5
San Martín de las Pirámides,15075,664
San Martín de los Cansecos,20238,3
San Mateo Atenco,15076,2459
San Mateo Cajonos,20246,2
San Mateo Etlatongo,20250,5
San Mateo Nejápam,20251,1
San Mateo Peñasco,20252,9
San Mateo Piñas,20253,11
San Mateo Río Hondo,20254,19
San Mateo Sindihui,20255,0
San Mateo Tlapiltepec,20256,0
San Mateo Yoloxochitlán,20249,7
San Mateo Yucutindoo,20566,4
San Mateo del Mar,20248,16
San Matías Tlalancaleca,21134,150
San Melchor Betaza,20257,3
San Miguel Achiutla,20258,1
San Miguel Ahuehuetitlán,20259,3
San Miguel Aloápam,20260,9
San Miguel Amatitlán,20261,23
San Miguel Amatlán,20262,1
San Miguel Chicahua,20264,7
San Miguel Chimalapa,20265,10
San Miguel Coatlán,20263,8
San Miguel Ejutla,20268,8
San Miguel Huautla,20270,6
San Miguel Ixitlán,21135,3
San Miguel Mixtepec,20271,4
San Miguel Panixtlahuaca,20272,42
San Miguel Peras,20273,8
San Miguel Piedras,20274,1
San Miguel Quetzaltepec,20275,12
San Miguel Santa Flor,20276,2
San Miguel Soyaltepec,20278,166
San Miguel Suchixtepec,20279,4
San Miguel Tecomatlán,20281,2
San Miguel Tenango,20282,1
San Miguel Tequixtepec,20283,9
San Miguel Tilquiápam,20284,24
San Miguel Tlacamama,20285,9
San Miguel Tlacotepec,20286,11
San Miguel Totolapan,12054,17
San Miguel Tulancingo,20287,1
San Miguel Xoxtla,21136,241
San Miguel Yotao,20288,0
San Miguel de Allende,11003,5855
San Miguel de Horcasitas,26056,55
San Miguel del Puerto,20266,46
San Miguel del Río,20267,1
San Miguel el Alto,14078,159
San Miguel el Grande,20269,13
San Nicolás,12085,3
San Nicolás,20289,0
San Nicolás,28036,4
San Nicolás Buenos Aires,21137,65
San Nicolás Hidalgo,20290,1
San Nicolás Tolentino,24030,55
San Nicolás de los Garza,19046,5246
San Nicolás de los Ranchos,21138,46
San Pablo Anicano,21139,10
San Pablo Coatlán,20291,22
San Pablo Cuatro Venados,20292,2
San Pablo Etla,20293,179
San Pablo Huitzo,20294,96
San Pablo Huixtepec,20295,73
San Pablo Macuiltianguis,20296,2
San Pablo Tijaltepec,20297,1
San Pablo Villa de Mitla,20298,89
San Pablo Yaganiza,20299,0
San Pablo del Monte,29025,189
San Pedro,5033,1732
San Pedro Amuzgos,20300,14
San Pedro Apóstol,20301,14
San Pedro Atoyac,20302,16
San Pedro Cajonos,20303,1
San Pedro Cholula,21140,1946
San Pedro Comitancillo,20305,19
San Pedro Coxcaltepec Cántaros,20304,3
San Pedro Garza García,19019,2158
San Pedro Huamelula,20307,46
San Pedro Huilotepec,20308,17
San Pedro Ixcatlán,20309,31
San Pedro Ixtlahuaca,20310,139
San Pedro Jaltepetongo,20311,3
San Pedro Jicayán,20312,45
San Pedro Jocotipac,20313,0
San Pedro Juchatengo,20314,4
San Pedro Lagunillas,18013,68
San Pedro Mixtepec Distrito 22,20318,979
San Pedro Mixtepec Distrito 26,20319,6
San Pedro Molinos,20320,0
San Pedro Mártir,20315,15
San Pedro Mártir Quiechapa,20316,1
San Pedro Mártir Yucuxaco,20317,14
San Pedro Nopala,20321,2
San Pedro Ocopetatillo,20322,2
San Pedro Ocotepec,20323,1
San Pedro Pochutla,20324,606
San Pedro Quiatoni,20325,13
San Pedro Sochiápam,20326,29
San Pedro Tapanatepec,20327,82
San Pedro Taviche,20328,4
San Pedro Teozacoalco,20329,3
San Pedro Teutila,20330,13
San Pedro Tidaá,20331,0
